Date,dsp_toxins,dsp_phyto,mean_sst,mean_chl,mean_temp,max_temp,min_temp,mean_wind_intensity,mean_wind_dir,rainfall
2017-05-21,47.0,20.0,291.0328674316406,0.942794919013977,19.21428571428572,23.9,14.37142857142857,5.757142857142858,91.71428571428571,0.0
2017-05-28,47.33333333333333,20.0,291.4535675048828,1.0859361290931702,18.033333333333335,23.307142857142857,13.928571428571429,5.566666666666666,109.5,0.41142857142857114
2017-06-04,47.666666666666664,20.0,291.874267578125,1.229077339172363,18.85714285714286,22.600000000000005,16.3,7.614285714285715,49.0,0.0
2017-06-11,43.0,40.0,291.0899963378906,2.575844526290894,19.95714285714286,25.18571428571428,15.87142857142857,6.428571428571428,9.285714285714286,0.0
2017-06-18,45.666666666666664,20.0,291.74904378255206,2.1316293080647792,19.58571428571429,24.21428571428571,15.775,6.4785714285714295,75.78571428571428,0.0
2017-06-25,48.333333333333336,20.0,292.40809122721356,1.687414089838664,19.625714285714288,24.21428571428571,15.954285714285714,6.611428571428573,81.57142857142856,0.0
2017-07-02,51.0,20.0,293.067138671875,1.243198871612549,20.31428571428571,24.85714285714285,16.55714285714286,6.114285714285715,153.1428571428571,0.0
2017-07-09,45.0,20.0,292.7952372233073,1.0756796995798747,19.738095238095237,24.728571428571428,16.46666666666667,7.297619047619048,55.64285714285713,0.0
2017-07-16,39.0,20.0,292.52333577473956,0.9081605275472007,19.91428571428571,24.599999999999998,16.5,7.234285714285716,56.971428571428554,0.0
2017-07-23,33.0,120.0,292.2514343261719,0.7406413555145264,19.78571428571428,24.6,16.67142857142857,7.142857142857143,104.7142857142857,0.0
2017-07-30,68.0,240.0,291.8357238769531,1.476595640182495,19.74285714285714,24.34285714285714,16.71428571428572,8.185714285714285,7.285714285714286,0.0
2017-08-06,60.0,20.0,291.4028625488281,6.980785369873047,19.77142857142857,24.48571428571428,16.68571428571428,8.3,10.42857142857143,0.0
2017-08-13,58.0,20.0,292.0114339192708,4.802620321512222,20.32,25.335714285714285,16.98857142857143,7.8761904761904775,58.17142857142856,0.0
2017-08-20,56.0,20.0,292.6200052897135,2.6244552731513977,20.32,25.749999999999996,16.98857142857143,7.8761904761904775,58.17142857142856,0.0
2017-08-27,54.0,140.0,293.2285766601562,0.4462902247905731,21.57142857142857,27.91428571428571,18.1,7.8761904761904775,66.71428571428571,0.0
2017-09-03,61.5,40.0,293.855712890625,0.5664458274841309,20.72857142857143,26.25714285714286,16.77142857142858,8.242857142857146,101.7142857142857,0.0
2017-09-10,56.4,20.0,293.4645690917969,0.5788300514221192,20.860714285714288,27.085714285714282,16.975,8.300000000000008,58.64285714285714,0.0
2017-09-17,51.3,20.0,293.07342529296875,0.5912142753601074,21.223809523809525,27.085714285714282,17.071428571428577,8.03428571428572,74.71428571428571,0.0
2017-09-24,46.2,20.0,292.6822814941406,0.6035984992980957,20.817857142857143,26.84285714285714,17.03571428571429,8.073809523809528,104.85714285714286,0.0
2017-10-01,41.1,20.0,292.2911376953125,0.6159827232360839,20.54,27.428571428571423,16.46,8.139682539682545,100.68571428571428,0.2619047619047613
