,Date,dsp_toxins,asp_toxins,psp_toxins
232,2019-06-23,64.0,1.8,
233,2019-06-30,74.0,1.8,
234,2019-07-07,36.0,1.8,
235,2019-07-14,67.0,1.8,71.0
236,2019-07-21,71.0,1.8,
237,2019-07-28,163.0,1.8,71.0
238,2019-08-04,84.0,,71.0
239,2019-08-11,64.0,1.8,71.0
240,2019-08-18,92.0,1.8,71.0
241,2019-08-25,388.0,1.8,71.0
242,2019-09-01,189.0,1.8,71.0
243,2019-09-08,225.0,1.8,71.0
244,2019-09-15,317.0,1.8,71.0
245,2019-09-22,141.0,1.8,71.0
246,2019-09-29,36.0,1.8,71.0
247,2019-10-06,36.0,1.8,71.0
248,2019-10-13,36.0,1.8,71.0
249,2019-10-20,78.0,1.8,71.0
250,2019-10-27,202.0,1.8,71.0
251,2019-11-03,127.0,1.8,71.0
252,2019-11-10,139.0,1.8,71.0
253,2019-11-17,36.0,1.8,71.0
254,2019-11-24,36.0,1.8,71.0
255,2019-12-01,36.0,1.8,
256,2019-12-08,36.0,1.8,
257,2019-12-15,36.0,1.8,
258,2019-12-22,36.0,1.8,
259,2019-12-29,36.0,1.8,
260,2020-01-05,36.0,,
261,2020-01-12,36.0,1.8,
262,2020-01-19,36.0,1.8,
263,2020-01-26,36.0,1.8,
264,2020-02-02,56.0,1.8,
265,2020-02-09,143.0,1.8,
266,2020-02-16,72.0,1.8,
267,2020-02-23,159.0,1.8,
268,2020-03-01,97.5,,
269,2020-03-08,36.0,1.8,71.0
270,2020-03-15,65.0,1.8,71.0
271,2020-03-22,64.0,,
272,2020-03-29,63.0,1.8,71.0
273,2020-04-05,49.5,,
274,2020-04-12,36.0,1.8,71.0
275,2020-04-19,36.0,,
276,2020-04-26,36.0,1.8,71.0
277,2020-05-03,36.0,1.8,71.0
278,2020-05-10,36.0,1.8,71.0
279,2020-05-17,36.0,,
280,2020-05-24,36.0,1.8,71.0
281,2020-05-31,36.0,1.8,71.0
282,2020-06-07,146.0,1.8,71.0
283,2020-06-14,321.0,1.8,71.0
284,2020-06-21,53.0,1.8,71.0
285,2020-06-28,42.0,1.8,71.0
286,2020-07-05,57.0,1.8,71.0
287,2020-07-12,36.0,1.8,71.0
288,2020-07-19,72.0,1.8,71.0
289,2020-07-26,82.0,1.8,
290,2020-08-02,63.0,1.8,71.0
291,2020-08-09,60.75,,
292,2020-08-16,58.5,,
293,2020-08-23,56.25,,
294,2020-08-30,54.0,,
295,2020-09-06,51.75,,
296,2020-09-13,49.5,,
297,2020-09-20,47.25,,
298,2020-09-27,45.0,,
299,2020-10-04,42.75,,
300,2020-10-11,40.5,,
301,2020-10-18,38.25,,
302,2020-10-25,36.0,,
303,2020-11-01,99.0,,
304,2020-11-08,71.0,,
305,2020-11-15,36.0,,
306,2020-11-22,60.0,,
307,2020-11-29,36.0,,
308,2020-12-06,102.0,,
309,2020-12-13,36.0,,
310,2020-12-20,36.0,,
311,2020-12-27,36.0,,
312,2021-01-03,36.0,1.8,
