Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão,dsp_toxins_Amêijoa-branca,asp_toxins_Amêijoa-branca,psp_toxins_Amêijoa-branca
2017-08-06,,1.8,,46.0,1.8,113.0
2017-08-13,,1.8,,,,
2017-08-20,61.0,1.8,,36.0,3.9,71.0
2017-08-27,73.0,1.8,78.0,36.0,4.0,84.0
2017-09-03,,1.8,86.0,,1.8,71.0
2017-09-10,570.0,1.8,71.0,36.0,1.8,71.0
2017-09-17,,1.8,,,,
2017-09-24,54.0,1.8,90.0,36.0,1.8,71.0
2017-10-01,140.0,1.8,97.0,36.0,1.8,85.0
2017-10-08,78.0,1.8,71.0,76.5,1.8,71.0
2017-10-15,,1.8,,,,
2017-10-22,62.0,1.8,71.0,36.0,1.8,71.0
2017-10-29,299.0,1.8,71.0,36.0,1.8,71.0
2017-11-05,36.0,1.8,71.0,36.0,1.8,71.0
2017-11-12,80.5,1.8,64.0,36.0,1.8,71.0
2017-11-19,177.0,1.8,71.0,36.0,1.8,71.0
2017-11-26,220.0,1.8,71.0,36.0,1.8,71.0
2017-12-03,149.0,1.8,71.0,36.0,1.8,71.0
2017-12-10,121.0,1.8,71.0,36.0,1.8,71.0
2017-12-17,,1.8,,,,
2017-12-24,113.0,1.8,71.0,36.0,1.8,71.0
2017-12-31,,1.8,,,,
2018-01-07,76.0,1.8,71.0,,,
2018-01-14,36.0,1.8,71.0,,,
2018-01-21,36.0,1.8,71.0,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0,,,
2018-02-25,36.0,1.8,71.0,36.0,1.8,71.0
2018-03-04,,1.8,,36.0,1.8,71.0
2018-03-11,70.0,1.8,71.0,36.0,1.8,71.0
2018-03-18,,1.8,,,,
2018-03-25,62.0,1.8,71.0,36.0,1.8,71.0
2018-04-01,36.0,1.8,71.0,36.0,1.8,71.0
2018-04-08,164.0,1.8,71.0,,,
2018-04-15,217.0,1.8,71.0,,,
2018-04-22,282.0,1.8,71.0,80.0,1.8,71.0
2018-04-29,,1.8,,36.0,1.8,71.0
2018-05-06,206.0,1.8,71.0,,,
2018-05-13,108.0,1.8,71.0,36.0,1.8,71.0
2018-05-20,77.0,1.8,71.0,63.0,1.8,71.0
2018-05-27,215.0,1.8,71.0,36.0,1.8,71.0
2018-06-03,124.0,1.8,71.0,171.0,1.8,71.0
2018-06-10,400.0,1.8,71.0,162.5,1.8,71.0
2018-06-17,550.0,1.8,71.0,188.0,1.8,71.0
2018-06-24,425.0,1.8,71.0,,,
2018-07-01,550.0,6.1,71.0,,,
2018-07-08,281.0,2.7,71.0,,,
2018-07-15,83.0,1.8,71.0,36.0,3.8,71.0
2018-07-22,93.0,1.8,41.0,36.0,1.8,71.0
2018-07-29,,1.8,,,,
2018-08-05,36.0,1.8,71.0,36.0,1.8,71.0
2018-08-12,36.0,1.8,71.0,36.0,1.8,40.0
2018-08-19,36.0,1.8,71.0,36.0,1.8,71.0
2018-08-26,36.0,1.8,71.0,36.0,1.8,71.0
2018-09-02,75.0,1.8,71.0,36.0,1.8,71.0
2018-09-09,36.0,1.8,71.0,36.0,1.8,71.0
2018-09-16,36.0,1.8,71.0,,,
2018-09-23,36.0,1.8,71.0,36.0,1.8,71.0
2018-09-30,,1.8,,36.0,1.8,71.0
2018-10-07,36.0,1.8,71.0,,,73.0
2018-10-14,36.0,1.8,71.0,36.0,1.8,71.0
2018-10-21,,1.8,,,,
2018-10-28,36.0,1.8,71.0,36.0,1.8,71.0
2018-11-04,36.0,1.8,71.0,,,
2018-11-11,36.0,1.8,71.0,,,
2018-11-18,36.0,1.8,71.0,36.0,1.8,71.0
2018-11-25,,1.8,,,,
2018-12-02,25.0,1.8,71.0,36.0,1.8,71.0
2018-12-09,,1.8,,36.0,1.8,71.0
2018-12-16,30.0,1.8,71.0,36.0,1.8,71.0
2018-12-23,,1.8,,,,
2018-12-30,36.0,1.8,71.0,36.0,1.8,71.0
2019-01-06,,1.8,,36.0,1.8,71.0
2019-01-13,36.0,1.8,71.0,36.0,1.8,71.0
2019-01-20,36.0,1.8,71.0,36.0,5.0,71.0
2019-01-27,36.0,1.8,71.0,36.0,1.8,71.0
2019-02-03,36.0,1.8,71.0,,,
2019-02-10,36.0,1.8,71.0,36.0,1.8,71.0
2019-02-17,36.0,1.8,71.0,36.0,1.8,71.0
2019-02-24,36.0,1.8,71.0,36.0,1.8,71.0
2019-03-03,36.0,1.8,71.0,,,
2019-03-10,279.0,1.8,71.0,,,
2019-03-17,628.0,1.8,71.0,104.0,1.8,71.0
2019-03-24,322.0,1.8,71.0,36.0,1.8,71.0
2019-03-31,131.0,1.8,71.0,36.0,1.8,71.0
2019-04-07,124.0,1.8,71.0,36.0,1.8,71.0
2019-04-14,142.0,1.8,71.0,,,
2019-04-21,139.0,1.8,71.0,36.0,1.8,71.0
2019-04-28,311.0,4.0,71.0,,,
2019-05-05,,1.8,,36.0,30.0,71.0
2019-05-12,521.0,1.8,71.0,83.5,6.0,
2019-05-19,443.0,1.8,71.0,171.0,1.8,
2019-05-26,245.0,1.8,71.0,36.0,1.8,
2019-06-02,166.0,1.8,71.0,,,
2019-06-09,162.0,1.8,71.0,36.0,,
2019-06-16,,1.8,,,,
2019-06-23,131.0,1.8,71.0,,,
2019-06-30,145.0,1.8,71.0,,,
2019-07-07,,1.8,,,,
2019-07-14,67.0,1.8,71.0,36.0,1.8,
2019-07-21,36.0,1.8,71.0,36.0,1.8,71.0
2019-07-28,36.0,1.8,71.0,36.0,1.8,71.0
2019-08-04,36.0,1.8,71.0,,,
2019-08-11,74.0,1.8,71.0,36.0,1.8,71.0
2019-08-18,,1.8,,,,
2019-08-25,521.0,1.8,71.0,36.0,1.8,71.0
2019-09-01,396.0,1.8,71.0,36.0,1.8,71.0
2019-09-08,459.0,1.8,71.0,36.0,1.8,71.0
2019-09-15,241.0,1.8,71.0,36.0,1.8,71.0
2019-09-22,96.0,1.8,71.0,36.0,1.8,71.0
2019-09-29,212.0,1.8,71.0,,,
2019-10-06,550.0,1.8,71.0,36.0,1.8,71.0
2019-10-13,,1.8,,36.0,1.8,71.0
2019-10-20,598.0,1.8,71.0,169.0,1.8,71.0
2019-10-27,550.0,1.8,71.0,407.0,1.8,71.0
2019-11-03,,1.8,,36.0,1.8,71.0
2019-11-10,,1.8,,27.0,1.8,71.0
2019-11-17,36.0,1.8,71.0,,,
2019-11-24,,1.8,,,,
2019-12-01,392.0,1.8,71.0,36.0,1.8,
2019-12-08,550.0,1.8,,36.0,1.8,
2019-12-15,223.0,1.8,71.0,,,
2019-12-22,102.0,1.8,,,,
2019-12-29,71.0,1.8,71.0,,,
2020-01-05,,1.8,,36.0,1.8,
2020-01-12,,1.8,,,,
2020-01-19,,1.8,,36.0,1.8,
2020-01-26,44.0,1.8,71.0,,,
2020-02-02,44.0,1.8,71.0,36.0,1.8,
2020-02-09,,1.8,,,1.8,
2020-02-16,214.0,1.8,,,1.8,
2020-02-23,,1.8,,,,
2020-03-01,550.0,1.8,71.0,36.0,,
2020-03-08,300.0,1.8,71.0,,,
2020-03-15,233.0,1.8,71.0,36.0,1.8,71.0
2020-03-22,36.0,1.8,71.0,386.0,1.8,71.0
2020-03-29,178.0,1.8,71.0,36.0,1.8,71.0
2020-04-05,99.0,3.0,71.0,36.0,1.8,71.0
2020-04-12,126.0,1.8,71.0,36.0,4.0,71.0
2020-04-19,245.0,1.8,71.0,36.0,1.8,71.0
2020-04-26,567.0,1.8,71.0,114.0,1.8,71.0
2020-05-03,485.0,1.8,71.0,36.0,1.8,71.0
2020-05-10,550.0,1.8,71.0,366.0,1.8,71.0
2020-05-17,,1.8,71.0,377.5,1.8,71.0
2020-05-24,550.0,1.8,71.0,326.5,1.8,71.0
2020-05-31,458.0,1.8,71.0,206.0,1.8,71.0
2020-06-07,154.0,1.8,71.0,,,
2020-06-14,36.0,1.8,71.0,,,
2020-06-21,127.0,1.8,71.0,36.0,3.1,71.0
2020-06-28,36.0,2.2,71.0,36.0,1.8,71.0
2020-07-05,,1.8,,,,
2020-07-12,36.0,1.8,71.0,36.0,7.0,71.0
2020-07-19,36.0,1.8,71.0,36.0,5.0,71.0
2020-07-26,36.0,1.8,71.0,36.0,1.8,
2020-08-02,36.0,1.8,71.0,36.0,1.8,71.0
2020-08-09,,1.8,,36.0,1.8,
2020-08-16,,1.8,,36.0,1.8,71.0
2020-08-23,,1.8,,36.0,3.21,71.0
2020-08-30,,1.8,,89.0,1.8,71.0
2020-09-06,,1.8,,195.0,1.8,71.0
2020-09-13,36.0,1.8,71.0,36.0,1.8,71.0
2020-09-20,172.0,1.8,,79.0,1.8,71.0
2020-09-27,352.0,1.8,,63.0,1.8,71.0
2020-10-04,,1.8,,,,
2020-10-11,,1.8,,,,
2020-10-18,,1.8,,63.0,1.8,71.0
2020-10-25,,1.8,,36.0,1.8,71.0
2020-11-01,349.0,1.8,,36.0,1.8,71.0
2020-11-08,43.0,1.8,,36.0,1.8,71.0
2020-11-15,,1.8,,334.0,1.8,71.0
2020-11-22,412.0,1.8,71.0,36.0,,
2020-11-29,,1.8,,36.0,1.8,71.0
2020-12-06,276.0,1.8,71.0,57.0,1.8,71.0
2020-12-13,,1.8,,36.0,1.8,71.0
2020-12-20,141.0,1.8,71.0,,,
2020-12-27,347.0,1.8,71.0,36.0,1.8,71.0
2021-01-03,176.0,1.8,,,,
