,Date,dsp_toxins,asp_toxins,psp_toxins
218,2019-03-17,36.0,1.8,71.0
219,2019-03-24,51.833333333333336,,
220,2019-03-31,36.0,23.0,71.0
221,2019-04-07,80.0,4.5,71.0
222,2019-04-14,51.833333333333336,,
223,2019-04-21,87.0,1.8,45.0
224,2019-04-28,64.14285714285714,,
225,2019-05-05,36.0,1.8,71.0
226,2019-05-12,36.0,1.8,71.0
227,2019-05-19,36.0,2.0,71.0
228,2019-05-26,138.0,13.0,71.0
229,2019-06-02,138.0,10.0,71.0
230,2019-06-09,192.0,1.8,71.0
231,2019-06-16,259.0,1.8,71.0
232,2019-06-23,137.0,1.8,71.0
233,2019-06-30,81.0,1.8,71.0
234,2019-07-07,153.0,1.8,71.0
235,2019-07-14,227.0,1.8,71.0
236,2019-07-21,142.5,1.8,71.0
237,2019-07-28,883.0,1.8,71.0
238,2019-08-04,264.0,1.8,71.0
239,2019-08-11,147.0,1.8,71.0
240,2019-08-18,152.0,1.8,71.0
241,2019-08-25,170.0,1.8,71.0
242,2019-09-01,550.0,1.8,71.0
243,2019-09-08,336.0,1.8,71.0
244,2019-09-15,550.0,1.8,71.0
245,2019-09-22,196.0,1.8,71.0
246,2019-09-29,164.5,1.8,71.0
247,2019-10-06,373.3333333333333,2.4,71.0
248,2019-10-13,275.0,,
249,2019-10-20,470.6666666666667,1.8,71.0
250,2019-10-27,267.3888888888889,,
251,2019-11-03,298.0,1.8,71.0
252,2019-11-10,452.0,1.8,71.0
253,2019-11-17,141.0,2.9,71.0
254,2019-11-24,36.0,,
255,2019-12-01,36.0,3.0,
256,2019-12-08,36.0,4.0,
257,2019-12-15,36.0,1.8,71.0
258,2019-12-22,58.0,1.8,71.0
259,2019-12-29,36.0,1.8,71.0
260,2020-01-05,66.0,1.8,71.0
261,2020-01-12,53.25,,
262,2020-01-19,36.0,2.0,71.0
263,2020-01-26,36.0,1.8,71.0
264,2020-02-02,122.0,1.8,71.0
265,2020-02-09,88.85714285714286,,
266,2020-02-16,166.0,1.8,
267,2020-02-23,91.57142857142857,,
268,2020-03-01,138.0,1.9,71.0
269,2020-03-08,58.0,1.8,71.0
270,2020-03-15,85.0,3.4,71.0
271,2020-03-22,86.5,,
272,2020-03-29,70.6,,
273,2020-04-05,36.0,1.8,71.0
274,2020-04-12,50.2,,
275,2020-04-19,36.0,1.8,71.0
276,2020-04-26,68.4,,
277,2020-05-03,36.0,1.8,71.0
278,2020-05-10,137.0,,
279,2020-05-17,76.0,1.8,71.0
280,2020-05-24,158.0,1.8,71.0
281,2020-05-31,62.0,1.8,71.0
282,2020-06-07,555.0,1.8,71.0
283,2020-06-14,308.0,1.8,71.0
284,2020-06-21,67.0,1.8,71.0
285,2020-06-28,102.5,2.0,71.0
286,2020-07-05,168.3125,,
287,2020-07-12,116.0,1.8,71.0
288,2020-07-19,111.64285714285714,,
289,2020-07-26,78.0,1.8,71.0
290,2020-08-02,58.0,1.8,71.0
291,2020-08-09,52.0,1.8,71.0
292,2020-08-16,73.5,,
293,2020-08-23,36.0,1.8,71.0
294,2020-08-30,36.0,1.8,71.0
295,2020-09-06,119.0,1.8,71.0
296,2020-09-13,93.0,1.8,
297,2020-09-20,162.0,1.8,71.0
298,2020-09-27,189.33333333333334,1.8,71.0
299,2020-10-04,111.53703703703704,,
300,2020-10-11,97.5,1.8,71.0
301,2020-10-18,36.0,,
302,2020-10-25,36.0,1.8,71.0
303,2020-11-01,235.0,1.8,71.0
304,2020-11-08,62.0,1.8,71.0
305,2020-11-15,36.0,1.8,71.0
306,2020-11-22,173.0,1.8,71.0
307,2020-11-29,104.5,1.8,71.0
308,2020-12-06,75.5,1.8,71.0
309,2020-12-13,36.0,1.8,71.0
310,2020-12-20,36.0,,71.0
311,2020-12-27,36.0,1.8,71.0
312,2021-01-03,36.0,1.8,
