Date,dsp_toxins_Berbigão,asp_toxins_Berbigão,psp_toxins_Berbigão,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2017-08-27,109.0,4.2,88.0,481.0,1.8,124.0
2017-09-03,81.5,1.8,1622.5,269.5,1.8,1700.5
2017-09-10,75.0,1.8,71.0,325.0,1.8,71.0
2017-09-17,,,,287.0,,
2017-09-24,32.0,1.8,94.0,249.0,1.8,97.0
2017-10-01,135.0,3.0,102.0,576.0,1.8,119.0
2017-10-08,60.0,1.8,71.0,172.0,1.8,71.0
2017-10-15,,,,195.0,,
2017-10-22,42.0,1.8,71.0,218.0,1.8,5.0
2017-10-29,81.0,1.8,71.0,425.0,1.8,71.0
2017-11-05,45.0,1.8,71.0,272.0,1.8,71.0
2017-11-12,105.0,1.8,64.5,494.5,1.8,67.0
2017-11-19,35.0,1.8,71.0,225.0,1.8,71.0
2017-11-26,36.0,1.8,71.0,158.0,1.8,71.0
2017-12-03,30.0,1.8,71.0,61.0,1.8,71.0
2017-12-10,81.0,1.8,71.0,137.0,1.8,71.0
2017-12-17,56.0,1.8,71.0,138.0,1.8,71.0
2017-12-24,36.0,1.8,71.0,92.0,1.8,71.0
2017-12-31,36.0,1.8,71.0,147.0,1.8,71.0
2018-01-07,36.0,1.8,71.0,91.0,1.8,71.0
2018-01-14,36.0,1.8,71.0,36.0,1.8,71.0
2018-01-21,33.0,1.8,71.0,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0,36.0,1.8,71.0
2018-03-04,36.0,1.8,71.0,36.0,1.8,48.0
2018-03-11,36.0,1.8,71.0,28.0,1.8,71.0
2018-03-18,28.0,1.8,71.0,26.0,1.8,38.0
2018-03-25,36.0,1.8,71.0,31.0,1.8,71.0
2018-04-01,36.0,1.8,71.0,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0,36.0,1.8,71.0
2018-04-15,36.0,1.8,71.0,36.0,1.8,71.0
2018-04-22,237.0,1.8,71.0,182.0,1.8,71.0
2018-04-29,138.0,1.8,,550.0,1.8,71.0
2018-05-06,294.0,1.8,71.0,550.0,1.8,71.0
2018-05-13,86.0,1.8,71.0,430.0,1.8,71.0
2018-05-20,36.0,1.8,71.0,125.0,1.8,71.0
2018-05-27,384.0,1.8,71.0,550.0,1.8,71.0
2018-06-03,550.0,,,550.0,1.8,71.0
2018-06-10,550.0,1.8,71.0,550.0,1.8,71.0
2018-06-17,536.0,3.7,71.0,550.0,3.5,71.0
2018-06-24,158.0,1.8,71.0,550.0,1.8,71.0
